source,target,source_era,target_era,genre_transition,verified_source
Robert Johnson,Jimi Hendrix,Blues (1930s),Psychedelic Rock (1960s),Blues to Psychedelic,AllMusic + Shadwick 2003
Robert Johnson,Eric Clapton,Blues (1930s),British Rock (1960s),Blues to British Rock,AllMusic + Wikipedia
Robert Johnson,Keith Richards,Blues (1930s),British Invasion (1960s),Blues to British Invasion,AllMusic + Rolling Stone
Robert Johnson,Jimmy Page,Blues (1930s),Hard Rock (1970s),Blues to Hard Rock,AllMusic + Wikipedia
Chuck Berry,The Beatles,R&B (1950s),British Invasion (1960s),R&B to British Invasion,AllMusic + Rolling Stone
Chuck Berry,Keith Richards,R&B (1950s),British Invasion (1960s),R&B to British Invasion,AllMusic + Wikipedia
Chuck Berry,Jimi Hendrix,R&B (1950s),Psychedelic Rock (1960s),R&B to Psychedelic,AllMusic
Muddy Waters,Eric Clapton,Chicago Blues (1950s),British Rock (1960s),Blues to British Rock,AllMusic + Rolling Stone
Muddy Waters,Rolling Stones,Chicago Blues (1950s),British Invasion (1960s),Blues to British Invasion,AllMusic + Wikipedia
Buddy Holly,The Beatles,Rockabilly (1950s),British Invasion (1960s),Rockabilly to British Invasion,AllMusic + Cross 2001
Little Richard,The Beatles,R&B (1950s),British Invasion (1960s),R&B to British Invasion,AllMusic + Rolling Stone
Little Richard,David Bowie,R&B (1950s),Glam Rock (1970s),R&B to Glam Rock,AllMusic
The Beatles,Jimi Hendrix,British Invasion (1960s),Psychedelic Rock (1960s),British Invasion to Psychedelic,AllMusic + Shadwick 2003
The Beatles,The Velvet Underground,British Invasion (1960s),Art Rock (1960s),British Invasion to Art Rock,AllMusic + Wikipedia
The Beatles,David Bowie,British Invasion (1960s),Glam Rock (1970s),British Invasion to Glam Rock,AllMusic + Rolling Stone
The Beatles,Kurt Cobain,British Invasion (1960s),Grunge (1990s),British Invasion to Grunge,Azerrad 1994 + Cross 2001
The Beatles,The Pixies,British Invasion (1960s),Alternative Rock (1980s),British Invasion to Alt Rock,AllMusic
The Beatles,Radiohead,British Invasion (1960s),Alternative Rock (1990s),British Invasion to Alt Rock,AllMusic + Wikipedia
The Beatles,Elvis Costello,British Invasion (1960s),New Wave (1970s),British Invasion to New Wave,AllMusic
The Beatles,R.E.M.,British Invasion (1960s),Alternative Rock (1980s),British Invasion to Alt Rock,AllMusic
Rolling Stones,Iggy Pop,British Invasion (1960s),Proto-Punk (1970s),British Invasion to Proto-Punk,AllMusic + Wikipedia
Rolling Stones,Aerosmith,British Invasion (1960s),Hard Rock (1970s),British Invasion to Hard Rock,AllMusic
Eric Clapton,Jimi Hendrix,British Rock (1960s),Psychedelic Rock (1960s),British Rock to Psychedelic,AllMusic + Shadwick 2003
Jimi Hendrix,Jimmy Page,Psychedelic Rock (1960s),Hard Rock (1970s),Psychedelic to Hard Rock,AllMusic + Rolling Stone
Jimi Hendrix,Eddie Van Halen,Psychedelic Rock (1960s),Hard Rock (1970s),Psychedelic to Hard Rock,AllMusic + Wikipedia
Jimi Hendrix,Prince,Psychedelic Rock (1960s),Funk Rock (1980s),Psychedelic to Funk Rock,AllMusic
Jimi Hendrix,Kurt Cobain,Psychedelic Rock (1960s),Grunge (1990s),Psychedelic to Grunge,Cross 2001 + Azerrad 1994
Jimi Hendrix,Slash,Psychedelic Rock (1960s),Hard Rock (1980s),Psychedelic to Hard Rock,AllMusic
The Velvet Underground,David Bowie,Art Rock (1960s),Glam Rock (1970s),Art Rock to Glam Rock,AllMusic + Wikipedia
The Velvet Underground,Joy Division,Art Rock (1960s),Post-Punk (1970s),Art Rock to Post-Punk,AllMusic + Wikipedia
The Velvet Underground,Sonic Youth,Art Rock (1960s),Noise Rock (1980s),Art Rock to Noise Rock,AllMusic
The Velvet Underground,The Pixies,Art Rock (1960s),Alternative Rock (1980s),Art Rock to Alt Rock,AllMusic
The Velvet Underground,R.E.M.,Art Rock (1960s),Alternative Rock (1980s),Art Rock to Alt Rock,AllMusic
David Bowie,Iggy Pop,Glam Rock (1970s),Punk (1970s),Glam to Punk,AllMusic + Wikipedia
David Bowie,Radiohead,Glam Rock (1970s),Alternative Rock (1990s),Glam to Alt Rock,AllMusic + Wikipedia
Neil Young,Kurt Cobain,Folk Rock (1960s),Grunge (1990s),Folk Rock to Grunge,Cross 2001 + Azerrad 1994
Neil Young,R.E.M.,Folk Rock (1960s),Alternative Rock (1980s),Folk Rock to Alt Rock,AllMusic
Led Zeppelin,Black Sabbath,Hard Rock (1970s),Heavy Metal (1970s),Hard Rock to Heavy Metal,AllMusic + Rolling Stone
Led Zeppelin,Aerosmith,Hard Rock (1970s),Hard Rock (1970s),Hard Rock to Hard Rock,AllMusic
Led Zeppelin,Kurt Cobain,Hard Rock (1970s),Grunge (1990s),Hard Rock to Grunge,Cross 2001
Led Zeppelin,Slash,Hard Rock (1970s),Hard Rock (1980s),Hard Rock to Hard Rock,AllMusic
Black Sabbath,Metallica,Heavy Metal (1970s),Thrash Metal (1980s),Metal to Thrash Metal,AllMusic + Rolling Stone
Black Sabbath,Soundgarden,Heavy Metal (1970s),Grunge (1990s),Metal to Grunge Metal,AllMusic + Wikipedia
The Ramones,Nirvana,Punk (1970s),Grunge (1990s),Punk to Grunge,Azerrad 1994 + AllMusic
